State,residual_HDI,Edu_gov,Hea_gov,Per_Capita_Social_Exp,Education_Technical_Efficiency,Health_Technical_Efficiency
Andhra Pradesh,-0.032105031,50.7,63.74,16449.40989,1.0,0.983
Arunachal Pradesh,0.004562943,18.3,34.09,40275.27723,,
Assam,0.015827301,62.8,49.64,11626.6016,0.81,0.966
Bihar,-0.006483741,35.2,15.31,8212.896988,1.0,0.976
Chhattisgarh,-0.009414311,57.5,42.27,13619.23168,0.93,0.966
Goa,0.013772598,34.9,55.88,43983.96408,,0.999
Gujarat,-0.035715347,66.6,69.06,11846.59254,1.0,0.988
Haryana,-0.019551978,62.9,58.62,16537.02133,1.0,0.987
Himachal Pradesh,0.002492148,54.6,51.65,23647.01109,1.0,0.987
Jammu and Kashmir,0.017444098,49.8,36.07,19167.2136,,
Jharkhand,0.005627654,21.0,23.19,8808.08921,0.88,0.979
Karnataka,-0.011056982,52.8,50.11,16599.44648,0.97,0.994
Kerala,0.040223468,79.0,65.62,17076.36169,1.0,1.0
Madhya Pradesh,-0.016506487,44.5,34.11,12370.04827,0.81,0.96
Maharashtra,0.008601383,46.9,57.94,13195.87422,0.95,1.0
Manipur,0.050576079,36.0,23.46,22384.20221,1.0,0.995
Meghalaya,0.009848682,38.7,39.62,22284.97567,,0.972
Mizoram,-0.000229562,47.5,61.9,34814.96711,1.0,1.0
Nagaland,0.021169335,45.2,24.62,22855.83942,1.0,1.0
New Delhi,0.002407819,66.4,43.6,15808.17656,,
Orissa,-0.007554537,61.9,42.04,14615.34926,,
Puducherry,0.016666889,38.2,51.44,19410.30534,,
Punjab,-0.030196809,53.7,57.48,9959.32628,1.0,0.995
Rajasthan,-0.022105031,56.4,52.04,14331.71882,0.83,0.971
Sikkim,0.019630212,45.0,34.77,46883.30871,1.0,0.999
Tamil Nadu,0.009113836,63.2,71.06,15047.74744,1.0,0.997
Telangana,-0.01995912,35.4,61.56,18967.05103,1.0,0.989
Tripura,0.007147954,38.3,56.55,20004.66716,0.91,0.983
Uttar Pradesh,-0.011715744,42.2,36.55,7323.086784,0.88,0.965
Uttaranchal,-0.007271926,38.8,41.13,19120.44916,,
